year,date,stage,course,distance,type,winner,distance_km,winner_name,winner_country_code,stage_type_group,decade,stages_count,starters,finishers,completion_rate,completion_pct
1970,1970-07-16,20b,Bordeaux,8.2 km (5.1 mi),Individual time trial,Eddy Merckx (BEL),8.2,Eddy Merckx,BEL,Time Trial,1970,23,150,100,0.6666666666666666,66.66666666666666
1970,1970-07-17,21,Ruffec to Tours,191.5 km (119.0 mi),Plain stage,Marino Basso (ITA),191.5,Marino Basso,ITA,Flat,1970,23,150,100,0.6666666666666666,66.66666666666666
1970,1970-07-18,22,Tours to Versailles,238.5 km (148.2 mi),Plain stage,Jean-Pierre Danguillaume (FRA),238.5,Jean-Pierre Danguillaume,FRA,Flat,1970,23,150,100,0.6666666666666666,66.66666666666666
1970,1970-07-19,23,Versailles to Paris,54 km (34 mi),Individual time trial,Eddy Merckx (BEL),54.0,Eddy Merckx,BEL,Time Trial,1970,23,150,100,0.6666666666666666,66.66666666666666
1971,1971-06-26,P,Mulhouse,11 km (6.8 mi),Team time trial,Molteni,11.0,Molteni,,Time Trial,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-27,1a,Mulhouse to Basel (Switzerland),59.5 km (37.0 mi),Flat stage,Eric Leman (BEL),59.5,Eric Leman,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-27,1b,Basel (Switzerland) to Freiburg (West Germany),90 km (56 mi),Medium mountain stage,Gerben Karstens (NED),90.0,Gerben Karstens,NED,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-27,1c,Freiburg (West Germany) to Mulhouse,74.5 km (46.3 mi),Flat stage,Albert Van Vlierberghe (BEL),74.5,Albert Van Vlierberghe,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-28,2,Mulhouse to Strasbourg,144 km (89 mi),Medium mountain stage,Eddy Merckx (BEL),144.0,Eddy Merckx,BEL,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-29,3,Strasbourg to Nancy,165.5 km (102.8 mi),Medium mountain stage,Rini Wagtmans (NED),165.5,Rini Wagtmans,NED,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-06-30,4,Nancy to Marche-en-Famenne (Belgium),242 km (150 mi),Flat stage,Jean-Pierre Genet (FRA),242.0,Jean-Pierre Genet,FRA,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-01,5,Dinant (Belgium) to Roubaix,208.5 km (129.6 mi),Flat stage,Pietro Guerra (ITA),208.5,Pietro Guerra,ITA,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-02,6a,Roubaix to Amiens,127.5 km (79.2 mi),Flat stage,Eric Leman (BEL),127.5,Eric Leman,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-02,6b,Amiens to Le Touquet,133.5 km (83.0 mi),Flat stage,Mauro Simonetti (ITA),133.5,Mauro Simonetti,ITA,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-04,7,Rungis to Nevers,257.5 km (160.0 mi),Flat stage,Eric Leman (BEL),257.5,Eric Leman,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-05,8,Nevers to Puy de DÃ´me,221 km (137 mi),High mountain stage,Luis OcaÃ±a (ESP),221.0,Luis OcaÃ±a,ESP,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-06,9,Clermont-Ferrand to Saint-Ãtienne,153 km (95 mi),Medium mountain stage,Walter Godefroot (BEL),153.0,Walter Godefroot,BEL,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-07,10,Saint-Ãtienne to Grenoble,188.5 km (117.1 mi),High mountain stage,Bernard ThÃ©venet (FRA),188.5,Bernard ThÃ©venet,FRA,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-08,11,Grenoble to OrciÃ¨res-Merlette,134 km (83 mi),High mountain stage,Luis OcaÃ±a (ESP),134.0,Luis OcaÃ±a,ESP,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-10,12,OrciÃ¨res-Merlette to Marseille,251 km (156 mi),Flat stage,Luciano Armani (ITA),251.0,Luciano Armani,ITA,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-11,13,Albi,16.3 km (10.1 mi),Individual time trial,Eddy Merckx (BEL),16.3,Eddy Merckx,BEL,Time Trial,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-12,14,Revel to Luchon,214.5 km (133.3 mi),High mountain stage,JosÃ© Manuel Fuente (ESP),214.5,JosÃ© Manuel Fuente,ESP,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-13,15,Luchon to SuperbagnÃ¨res,19.6 km (12.2 mi),High mountain stage,JosÃ© Manuel Fuente (ESP),19.6,JosÃ© Manuel Fuente,ESP,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-14,16a,Luchon to Gourette,145 km (90 mi),High mountain stage,Bernard Labourdette (FRA),145.0,Bernard Labourdette,FRA,Mountain,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-14,16b,Eaux-Bonnes[c] to Pau,57.5 km (35.7 mi)[c],Flat stage,Herman Van Springel (BEL),57.5,Herman Van Springel,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-15,17,Mont-de-Marsan to Bordeaux,188 km (117 mi),Flat stage,Eddy Merckx (BEL),188.0,Eddy Merckx,BEL,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-16,18,Bordeaux to Poitiers,244 km (152 mi),Flat stage,Jean-Pierre Danguillaume (FRA),244.0,Jean-Pierre Danguillaume,FRA,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-17,19,Blois to Versailles,185 km (115 mi),Flat stage,Jan Krekels (NED),185.0,Jan Krekels,NED,Flat,1970,20,130,94,0.7230769230769231,72.3076923076923
1971,1971-07-18,20,Versailles to Paris,53.8 km (33.4 mi),Individual time trial,Eddy Merckx (BEL),53.8,Eddy Merckx,BEL,Time Trial,1970,20,130,94,0.7230769230769231,72.3076923076923
1972,1972-07-01,P,Angers,7.2 km (4.5 mi),Individual time trial,Eddy Merckx (BEL),7.2,Eddy Merckx,BEL,Time Trial,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-02,1,Angers to Saint-Brieuc,235.5 km (146.3 mi),Plain stage,Cyrille Guimard (FRA),235.5,Cyrille Guimard,FRA,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-03,2,Saint-Brieuc to La Baule,206.5 km (128.3 mi),Plain stage,Rik Van Linden (BEL),206.5,Rik Van Linden,BEL,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-04,3a,Pornichet to Saint-Jean-de-Monts,161.0 km (100.0 mi),Plain stage,Ercole Gualazzini (ITA),161.0,Ercole Gualazzini,ITA,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-04,3b,Merlin-Plage,16.2 km (10.1 mi),Team time trial,Molteni,16.2,Molteni,,Time Trial,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-05,4,Merlin-Plage to Royan,236.0 km (146.6 mi),Plain stage,Cyrille Guimard (FRA),236.0,Cyrille Guimard,FRA,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-06,5a,Royan to Bordeaux,133.5 km (83.0 mi),Plain stage,Walter Godefroot (BEL),133.5,Walter Godefroot,BEL,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-06,5b,Bordeaux,12.7 km (7.9 mi),Individual time trial,Eddy Merckx (BEL),12.7,Eddy Merckx,BEL,Time Trial,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-07,6,Bordeaux to Bayonne,205.0 km (127.4 mi),Plain stage,Leo Duyndam (NED),205.0,Leo Duyndam,NED,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-09,7,Bayonne to Pau,220.5 km (137.0 mi),Stage with mountain(s),Yves HÃ©zard (FRA),220.5,Yves HÃ©zard,FRA,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-10,8,Pau to Luchon,163.5 km (101.6 mi),Stage with mountain(s),Eddy Merckx (BEL),163.5,Eddy Merckx,BEL,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-11,9,Luchon to Colomiers,179.0 km (111.2 mi),Hilly stage,Jos Huysmans (BEL),179.0,Jos Huysmans,BEL,Hilly,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-12,10,Castres to La Grande-Motte,210.0 km (130.5 mi),Plain stage,Willy Teirlinck (BEL),210.0,Willy Teirlinck,BEL,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-13,11,Carnon-Plage to Mont Ventoux,207.0 km (128.6 mi),Stage with mountain(s),Bernard ThÃ©venet (FRA),207.0,Bernard ThÃ©venet,FRA,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-14,12,Carpentras to OrciÃ¨res-Merlette,192.0 km (119.3 mi),Stage with mountain(s),Lucien Van Impe (BEL),192.0,Lucien Van Impe,BEL,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-16,13,OrciÃ¨res-Merlette to BrianÃ§on,201.0 km (124.9 mi),Stage with mountain(s),Eddy Merckx (BEL),201.0,Eddy Merckx,BEL,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-17,14a,BrianÃ§on to Valloire,51.0 km (31.7 mi),Stage with mountain(s),Eddy Merckx (BEL),51.0,Eddy Merckx,BEL,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-17,14b,Valloire to Aix-les-Bains,151.0 km (93.8 mi),Stage with mountain(s),Cyrille Guimard (FRA),151.0,Cyrille Guimard,FRA,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-18,15,Aix-les-Bains to Le Revard,28.0 km (17.4 mi),Stage with mountain(s),Cyrille Guimard (FRA),28.0,Cyrille Guimard,FRA,Mountain,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-19,16,Aix-les-Bains to Pontarlier,198.5 km (123.3 mi),Hilly stage,Willy Teirlinck (BEL),198.5,Willy Teirlinck,BEL,Hilly,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-20,17,Pontarlier to Ballon d'Alsace,213.0 km (132.4 mi),Hilly stage,Bernard ThÃ©venet (FRA),213.0,Bernard ThÃ©venet,FRA,Hilly,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-21,18,Vesoul to Auxerre,257.5 km (160.0 mi),Plain stage,Marinus Wagtmans (NED),257.5,Marinus Wagtmans,NED,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-22,19,Auxerre to Versailles,230.0 km (142.9 mi),Plain stage,Joseph BruyÃ¨re (BEL),230.0,Joseph BruyÃ¨re,BEL,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-23,20a,Versailles,42.0 km (26.1 mi),Individual time trial,Eddy Merckx (BEL),42.0,Eddy Merckx,BEL,Time Trial,1970,20,132,88,0.6666666666666666,66.66666666666666
1972,1972-07-23,20b,Versailles to Paris,89.0 km (55.3 mi),Plain stage,Willy Teirlinck (BEL),89.0,Willy Teirlinck,BEL,Flat,1970,20,132,88,0.6666666666666666,66.66666666666666
1973,1973-06-30,P,Scheveningen (Netherlands),7.1 km (4.4 mi),Individual time trial,Joop Zoetemelk (NED),7.1,Joop Zoetemelk,NED,Time Trial,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-01,1a,Scheveningen (Netherlands) to Rotterdam (Netherlands),84 km (52 mi),Plain stage,Willy Teirlinck (BEL),84.0,Willy Teirlinck,BEL,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-01,1b,Rotterdam (Netherlands) to Sint-Niklaas (Belgium),137.5 km (85.4 mi),Plain stage,JosÃ© Catieau (FRA),137.5,JosÃ© Catieau,FRA,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-02,2a,Sint-Niklaas (Belgium),12.4 km (7.7 mi),Team time trial,WatneyâMaes Pils,12.4,WatneyâMaes Pils,,Time Trial,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-02,2b,Sint-Niklaas (Belgium) to Roubaix,138 km (86 mi),Plain stage,Eddy Verstraeten (BEL),138.0,Eddy Verstraeten,BEL,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-03,3,Roubaix to Reims,226 km (140 mi),Plain stage,Cyrille Guimard (FRA),226.0,Cyrille Guimard,FRA,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-04,4,Reims to Nancy,214 km (133 mi),Plain stage,Joop Zoetemelk (NED),214.0,Joop Zoetemelk,NED,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-05,5,Nancy to Mulhouse,188 km (117 mi),Stage with mountain(s),Walter Godefroot (BEL),188.0,Walter Godefroot,BEL,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-06,6,Mulhouse to Divonne-les-Bains,244.5 km (151.9 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA),244.5,Jean-Pierre Danguillaume,FRA,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-08,7a,Divonne-les-Bains to Gaillard,86.5 km (53.7 mi),Stage with mountain(s),Luis OcaÃ±a (ESP),86.5,Luis OcaÃ±a,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-08,7b,Gaillard to MÃ©ribel,150.5 km (93.5 mi),Stage with mountain(s),Bernard ThÃ©venet (FRA),150.5,Bernard ThÃ©venet,FRA,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-09,8,MoÃ»tiers to Les Orres,237.5 km (147.6 mi),Stage with mountain(s),Luis OcaÃ±a (ESP),237.5,Luis OcaÃ±a,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-10,9,Embrun to Nice,234.5 km (145.7 mi),Stage with mountain(s),Vicente LÃ³pez Carril (ESP),234.5,Vicente LÃ³pez Carril,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-11,10,Nice to Aubagne,222.5 km (138.3 mi),Stage with mountain(s),Michael Wright (GBR),222.5,Michael Wright,GBR,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-12,11,Montpellier to ArgelÃ¨s-sur-Mer,238 km (148 mi),Plain stage,Barry Hoban (GBR),238.0,Barry Hoban,GBR,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-13,12a,Perpignan to Thuir,28.3 km (17.6 mi),Individual time trial,Luis OcaÃ±a (ESP),28.3,Luis OcaÃ±a,ESP,Time Trial,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-13,12b,Thuir to BolquÃ¨res Pyrenees 2000 [fr],76 km (47 mi),Stage with mountain(s),Lucien Van Impe (BEL),76.0,Lucien Van Impe,BEL,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-15,13,Bourg-Madame to Luchon,235 km (146 mi),Stage with mountain(s),Luis OcaÃ±a (ESP),235.0,Luis OcaÃ±a,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-16,14,Luchon to Pau,227.5 km (141.4 mi),Stage with mountain(s),Pedro Torres (ESP),227.5,Pedro Torres,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-17,15,Pau to Fleurance,137 km (85 mi),Plain stage,Wilfried David (BEL),137.0,Wilfried David,BEL,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-18,16a,Fleurance to Bordeaux,210 km (130 mi),Plain stage,Walter Godefroot (BEL),210.0,Walter Godefroot,BEL,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-18,16b,Bordeaux,12.4 km (7.7 mi),Individual time trial,Joaquim Agostinho (POR),12.4,Joaquim Agostinho,POR,Time Trial,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-19,17,Sainte-Foy-la-Grande to Brive-la-Gaillarde,248 km (154 mi),Plain stage,Claude Tollet (FRA),248.0,Claude Tollet,FRA,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-20,18,Brive-la-Gaillarde to Puy-de-DÃ´me,216.5 km (134.5 mi),Stage with mountain(s),Luis OcaÃ±a (ESP),216.5,Luis OcaÃ±a,ESP,Mountain,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-21,19,Bourges to Versailles,233.5 km (145.1 mi),Plain stage,Barry Hoban (GBR),233.5,Barry Hoban,GBR,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-22,20a,Versailles,16 km (9.9 mi),Individual time trial,Luis OcaÃ±a (ESP),16.0,Luis OcaÃ±a,ESP,Time Trial,1970,20,132,87,0.6590909090909091,65.9090909090909
1973,1973-07-22,20b,Versailles to Paris,89 km (55 mi),Plain stage,Bernard ThÃ©venet (FRA),89.0,Bernard ThÃ©venet,FRA,Flat,1970,20,132,87,0.6590909090909091,65.9090909090909
1974,1974-06-27,P,Brest,7 km (4.3 mi),Individual time trial,Eddy Merckx (BEL),7.0,Eddy Merckx,BEL,Time Trial,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-06-28,1,Brest to Saint-Pol-de-LÃ©on,144 km (89 mi),Plain stage,Ercole Gualazzini (ITA),144.0,Ercole Gualazzini,ITA,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-06-29,2,Plymouth (United Kingdom),164 km (102 mi),Plain stage,Henk Poppe (NED),164.0,Henk Poppe,NED,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-06-30,3,Morlaix to Saint-Malo,190 km (120 mi),Plain stage,Patrick Sercu (BEL),190.0,Patrick Sercu,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-01,4,Saint-Malo to Caen,184 km (114 mi),Plain stage,Patrick Sercu (BEL),184.0,Patrick Sercu,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-02,5,Caen to Dieppe,165 km (103 mi),Plain stage,Ronald de Witte (BEL),165.0,Ronald de Witte,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-03,6a,Dieppe to Harelbeke (Belgium),239 km (149 mi),Plain stage,Jean-Luc MolinÃ©ris (FRA),239.0,Jean-Luc MolinÃ©ris,FRA,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-03,6b,Harelbeke (Belgium),9 km (5.6 mi),Team time trial,Molteni,9.0,Molteni,,Time Trial,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-04,7,Mons (Belgium) to ChÃ¢lons-sur-Marne,221 km (137 mi),Plain stage,Eddy Merckx (BEL),221.0,Eddy Merckx,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-05,8a,ChÃ¢lons-sur-Marne to Chaumont,136 km (85 mi),Plain stage,Cyrille Guimard (FRA),136.0,Cyrille Guimard,FRA,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-05,8b,Chaumont to BesanÃ§on,152 km (94 mi),Plain stage,Patrick Sercu (BEL),152.0,Patrick Sercu,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-06,9,BesanÃ§on to Gaillard,241 km (150 mi),Stage with mountain(s),Eddy Merckx (BEL),241.0,Eddy Merckx,BEL,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-07,10,Gaillard to Aix-les-Bains,131 km (81 mi),Stage with mountain(s),Eddy Merckx (BEL),131.0,Eddy Merckx,BEL,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-08,11,Aix-les-Bains to Serre Chevalier,199 km (124 mi),Stage with mountain(s),Vicente LÃ³pez Carril (ESP),199.0,Vicente LÃ³pez Carril,ESP,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-10,12,Savines-le-Lac to Orange,231 km (144 mi),Stage with mountain(s),Jos Spruyt (BEL),231.0,Jos Spruyt,BEL,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-11,13,Avignon to Montpellier,126 km (78 mi),Plain stage,Barry Hoban (GBR),126.0,Barry Hoban,GBR,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-12,14,LodÃ¨ve to Colomiers,249 km (155 mi),Plain stage,Jean-Pierre Genet (FRA),249.0,Jean-Pierre Genet,FRA,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-14,15,Colomiers to La Seu d'Urgell (Spain),225 km (140 mi),Stage with mountain(s),Eddy Merckx (BEL),225.0,Eddy Merckx,BEL,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-15,16,La Seu d'Urgell to Saint-Lary-Soulan Pla d'Adet,209 km (130 mi),Stage with mountain(s),Raymond Poulidor (FRA),209.0,Raymond Poulidor,FRA,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-16,17,Saint-Lary-Soulan to La Mongie,119 km (74 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA),119.0,Jean-Pierre Danguillaume,FRA,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-17,18,BagnÃ¨res-de-Bigorre to Pau,141 km (88 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA),141.0,Jean-Pierre Danguillaume,FRA,Mountain,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-18,19a,Pau to Bordeaux,196 km (122 mi),Plain stage,Francis Campaner (FRA),196.0,Francis Campaner,FRA,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-18,19b,Bordeaux,12 km (7.5 mi),Individual time trial,Eddy Merckx (BEL),12.0,Eddy Merckx,BEL,Time Trial,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-19,20,Saint-Gilles-Croix-de-Vie to Nantes,120 km (75 mi),Plain stage,Gerard Vianen (NED),120.0,Gerard Vianen,NED,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-20,21a,Vouvray to OrlÃ©ans,113 km (70 mi),Plain stage,Eddy Merckx (BEL),113.0,Eddy Merckx,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-20,21b,OrlÃ©ans,37 km (23 mi),Individual time trial,Michel Pollentier (BEL),37.0,Michel Pollentier,BEL,Time Trial,1970,22,130,105,0.8076923076923077,80.76923076923077
1974,1974-07-21,22,OrlÃ©ans to Paris,146 km (91 mi),Plain stage,Eddy Merckx (BEL),146.0,Eddy Merckx,BEL,Flat,1970,22,130,105,0.8076923076923077,80.76923076923077
1975,1975-06-26,P,Charleroi (Belgium),6 km (3.7 mi),Individual time trial,Francesco Moser (ITA),6.0,Francesco Moser,ITA,Time Trial,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-06-27,1a,Charleroi (Belgium) to Molenbeek (Belgium),94 km (58 mi),Plain stage,Cees Priem (NED),94.0,Cees Priem,NED,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-06-27,1b,Molenbeek (Belgium) to Roubaix,109 km (68 mi),Plain stage,Rik Van Linden (BEL),109.0,Rik Van Linden,BEL,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-06-28,2,Roubaix to Amiens,121 km (75 mi),Plain stage,Ronald de Witte (BEL),121.0,Ronald de Witte,BEL,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-06-29,3,Amiens to Versailles,170 km (110 mi),Plain stage,Karel Rottiers (BEL),170.0,Karel Rottiers,BEL,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-06-30,4,Versailles to Le Mans,223 km (139 mi),Plain stage,Jacques Esclassan (FRA),223.0,Jacques Esclassan,FRA,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-02,5,SablÃ©-sur-Sarthe to Merlin-Plage,222 km (138 mi),Plain stage,Theo Smit (NED),222.0,Theo Smit,NED,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-02,6,Merlin-Plage,16 km (9.9 mi),Individual time trial,Eddy Merckx (BEL),16.0,Eddy Merckx,BEL,Time Trial,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-03,7,Saint-Gilles-Croix-de-Vie to AngoulÃªme,236 km (147 mi),Plain stage,Francesco Moser (ITA),236.0,Francesco Moser,ITA,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-04,8,AngoulÃªme to Bordeaux,134 km (83 mi),Plain stage,Barry Hoban (GBR),134.0,Barry Hoban,GBR,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-05,9a,Langon to Fleurance,131 km (81 mi),Plain stage,Theo Smit (NED),131.0,Theo Smit,NED,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-05,9b,Fleurance to Auch,37 km (23 mi),Individual time trial,Eddy Merckx (BEL),37.0,Eddy Merckx,BEL,Time Trial,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-07,10,Auch to Pau,206 km (128 mi),Stage with mountain(s),Felice Gimondi (ITA),206.0,Felice Gimondi,ITA,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-08,11,Pau to Saint-Lary-Soulan Pla d'Adet,160 km (99 mi),Stage with mountain(s),Joop Zoetemelk (NED),160.0,Joop Zoetemelk,NED,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-09,12,Tarbes to Albi,242 km (150 mi),Plain stage,Gerrie Knetemann (NED),242.0,Gerrie Knetemann,NED,Flat,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-10,13,Albi to Super-Lioran,260 km (160 mi),Stage with mountain(s),Michel Pollentier (BEL),260.0,Michel Pollentier,BEL,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-11,14,Aurillac to Puy de DÃ´me,174 km (108 mi),Stage with mountain(s),Lucien Van Impe (BEL),174.0,Lucien Van Impe,BEL,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-13,15,Nice to Pra-Loup,217 km (135 mi),Stage with mountain(s),Bernard ThÃ©venet (FRA),217.0,Bernard ThÃ©venet,FRA,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-14,16,Barcelonnette to Serre Chevalier,107 km (66 mi),Stage with mountain(s),Bernard ThÃ©venet (FRA),107.0,Bernard ThÃ©venet,FRA,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-15,17,Valloire to Morzine Avoriaz,225 km (140 mi),Stage with mountain(s),Vicente LÃ³pez Carril (ESP),225.0,Vicente LÃ³pez Carril,ESP,Mountain,1970,22,140,86,0.6142857142857143,61.42857142857143
1975,1975-07-16,18,Morzine to ChÃ¢tel,40 km (25 mi),Individual time trial,Lucien Van Impe (BEL),40.0,Lucien Van Impe,BEL,Time Trial,1970,22,140,86,0.6142857142857143,61.42857142857143
